f1,f2,f3
-1.23937466,0.749101495,-0.528514909
-1.03607028,0.801436315,-1.283711517
-0.615579137,1.579520526,-1.391927056
1.335977573,1.348650615,1.433564255
0.658925204,1.300018834,0.571602713
0.656532232,0.991439643,0.870279795
1.453977977,0.583740683,1.277377905
1.124756335,1.116123929,1.442579278
-1.723840745,-0.17528909,-0.588835203
-0.79413813,1.958963129,-0.270497006
0.242728637,0.392830989,0.742419535
0.695879071,0.044684044,1.410398294
-1.39834487,-0.219578437,-1.332539136
1.699869439,1.150703109,1.615615653
-0.975111211,0.387796089,-1.853478761
0.73250359,0.508059069,0.999694835
1.436569625,1.143265737,1.556413196
-0.691338531,-0.157179968,-0.174195497
-1.101759928,0.734979115,-0.974742615
1.171287177,1.676785064,1.065020592
-0.260585444,-0.554335939,1.303118175
0.333435543,1.652449302,-2.442148967
0.874872111,0.470826095,1.016198971
3.138674622,2.813416426,2.450988859
0.896894619,0.979821964,1.162162298
1.974404848,3.124937405,1.107507288
0.669024967,0.99967232,0.955418166
2.875422754,3.270717725,1.497416758
0.116951072,-0.423660062,0.711500011
-1.098523921,0.449892765,-1.291789666
-1.315447021,0.555205782,-1.099971013
-1.225130906,1.791151605,-0.037359596
3.379874332,3.568386358,2.328914065
-0.474542755,1.111415586,-1.739935866
-1.365037517,-0.033271897,-1.284700301
-1.080457756,1.174176711,-0.442297253
-2.088692982,0.853456264,0.689830385
-1.278571806,0.400921494,-1.130559361
-0.154885755,2.312038018,-1.098892052
1.621947876,1.640740137,1.470649579
-1.162992621,1.478058369,-0.026453013
0.702243163,0.580826492,0.842290902
-1.51183385,-0.947524171,-1.806970797
1.297576992,0.921315026,1.481941436
-1.317726055,0.573604381,-0.639658526
-0.454130863,0.460949829,-2.619571102
-1.930439464,0.071585531,-0.584447102
-1.839290983,-0.140418043,-0.33220939
1.150426263,1.337346237,0.989242609
3.26186576,3.573627834,1.787723428
-0.491874514,2.079178905,-1.430890128
-1.325562136,2.131728284,0.223854523
-1.425485539,-1.560861416,-0.173521962
-1.403394987,0.919193773,-0.440377276
-1.611077272,0.614685605,-0.343817961
-0.742242379,1.732656986,0.050032627
-1.452609896,0.070384608,-1.081667686
-1.55342211,1.317930316,-0.073458403
0.194270322,-0.507415734,0.93272361
-1.974069553,0.837375794,0.589870642
1.094246893,0.414619773,1.169417739
-1.086983446,1.6887239,-0.416412537
1.214304163,1.724958574,0.821274717
-1.781683953,0.348024272,-0.649319148
1.526461984,1.8276915,1.186655112
-1.012772248,0.968606024,-1.434289433
-1.472934622,-2.453844583,-0.057078569
1.608249477,1.675071604,1.332277793
-2.880684779,0.458847379,1.381670076
-0.689874881,-0.760355056,0.221718994
-2.443032843,-0.123610861,0.422508026
-0.467585922,0.243373979,-2.649109943
-1.348371552,0.504285743,-1.097171524
0.65477189,-0.144281648,1.392494636
0.894345698,0.450579276,1.202872519
-1.322578433,1.169349249,-0.025875255
-1.152649361,1.374524033,-0.492896348
-2.248866455,-0.887983829,-1.143751836
0.927230687,0.28529637,1.575076946
0.985040802,1.091193079,0.44896085
1.499200919,1.501005079,1.237027993
-1.992754646,0.214184598,-0.183147893
1.181670606,0.86096012,1.349306823
0.425335544,1.907171097,-1.979771507
-1.519366793,0.803787459,-0.138759442
-1.013369186,0.787232333,-1.269516407
-1.65695159,0.316706356,-0.858772324
1.3682439,1.182416998,1.547986657
-0.446486334,1.53826452,-1.440898813
-0.215589361,1.116054804,-1.918125689
0.575847665,-0.368778036,1.555696293
-0.143409613,1.91285401,-1.478016578
0.189892822,0.001395892,1.011488631
1.893106633,1.992168789,1.49595884
1.357592644,1.432195669,1.01805083
-0.467274631,1.314447521,-1.189048621
-0.404320607,-0.357650394,0.297763288
-0.835952014,1.625116717,-0.763977782
0.070935973,-0.296635239,0.494582312
2.574263307,2.549431199,1.846874676
-0.016633016,1.777894065,-2.214405183
-0.303397109,1.287399717,-1.869092109
-2.443152484,1.138863823,1.933391651
-0.371089848,1.36392587,-1.757801057
1.67656384,1.645555427,1.204606596
0.271956129,3.100007903,-1.399379532
0.553241501,0.727097067,0.439100657
1.316413223,1.539267448,1.037524798
1.976707639,1.801606459,1.620211886
0.046965964,-0.265872106,0.59587211
0.786776743,1.307294698,0.76580652
